산업분류코드,행정구역,산업분류명,총사업체수,총종사자수,남자종사자수,여자종사자수,개인사업체수,개인종사자수,회사법인사업체수,회사법인종사자수,회사법인외사업체수,회사법인외종사자수,비법인단체사업체수,비법인단체종사자수,단독사업체사업체수,단독사업체종사자수,공장지사사업체수,공장지사종사자수,공장본점사업체수,공장본점종사자수,사업체수1_4,종사자수1_4,사업체수5_9,종사자수5_9,사업체수10_19,종사자수10_19,사업체수20_49,종사자수20_49,사업체수50_99,종사자수50_99,사업체수100_299,종사자수100_299,사업체수300_499,종사자수300_499,사업체수500_999,종사자수500_999,사업체수1000이상,종사자수100이상,자영업자종사자수,무급가족종사자수,상용근로자수,임시일용근로자수,기타종사자수,대표자남자사업체수,대표자남자종사자수,대표자여자사업체수,대표자여자종사자수,대표자사업체수20세미만,대표자종사자수20세미만,대표자사업체수20_29세,대표자종사자수20세_29세,대표자사업체수30_39세,대표자종사자수30세_39세,대표자사업체수40_49세,대표자종사자수40세_49세,대표자사업체수50_59세,대표자종사자수50세_59세,대표자사업체수60세이상,대표자종사자수60세이상
0000000F41223,전국,"항만, 수로, 댐 및 유사 구조물 건설업",288,2885,2473,412,96,182,188,2610,4,93,0,0,253,2093,26,622,9,170,148,260,70,473,38,504,21,646,7,479,4,523,0,0,0,0,0,0,97,7,1792,987,2,220,2497,68,388,0,0,2,X,19,87,73,576,102,985,92,1235
0000000F41224,전국,환경설비 건설업,824,6361,5126,1235,224,525,599,5835,0,0,1,X,695,4156,58,768,71,1437,438,913,198,1322,129,1715,46,1302,11,781,2,X,0,0,0,0,0,0,231,12,5578,519,21,684,5509,140,852,0,0,4,12,35,183,164,971,397,3099,224,2096
0000000F41225,전국,산업 생산시설 종합 건설업,2938,41083,35304,5779,1083,1973,1845,39075,10,35,0,0,2625,17334,182,7215,131,16534,2028,3267,437,2787,214,2832,156,4776,52,3555,31,4861,8,3408,8,6297,4,9300,1092,34,23448,15958,551,2338,38127,600,2956,0,0,65,182,229,1151,722,4608,1173,18031,749,17111
0000000F41226,전국,조경 건설업,8835,45691,35228,10463,4059,8475,4753,37102,22,113,1,X,8554,41014,122,933,159,3744,6320,12108,1573,10088,614,8022,249,7015,55,3729,22,3540,1,X,1,X,0,0,4129,264,24182,16976,140,5814,29228,3021,16463,5,11,203,729,686,2948,2269,11020,3452,18671,2220,12312
0000000F41229,전국,기타 토목 시설물 건설업,7668,68856,58558,10298,2587,4419,5060,64115,21,322,0,0,7230,57894,220,3500,218,7462,4250,7432,1690,11136,1002,13431,558,16202,116,7467,39,5586,8,2997,4,2612,1,X,2621,99,38407,27304,425,5666,54614,2002,14242,0,0,149,630,477,4047,1761,11983,3280,30876,2001,21320
0000000F42,전국,전문직별 공사업,449918,1465272,1221853,243419,366716,491130,82938,971573,234,2375,30,194,442455,1206681,3847,64987,3616,193604,398271,520628,31157,198148,12506,163475,5539,160733,1336,90194,825,132393,155,58006,90,60301,39,81394,369387,10580,579201,477494,28610,354908,1191234,95010,274038,83,632,12343,22600,41409,93922,125033,320966,175993,599729,95057,427423
0000000F421,전국,기반조성 및 시설물 축조관련 전문공사업,46872,373013,325012,48001,22863,45598,23982,326780,25,632,2,X,45315,291070,722,12081,835,69862,32079,57264,8617,55347,3801,49675,1573,46025,402,26857,288,45443,53,20164,38,26522,21,45716,23285,1178,146354,200714,1482,35211,305906,11661,67107,8,22,1215,4912,3748,19537,12164,72630,19647,160343,10090,115569
0000000F4211,전국,건물 및 구축물 해체 공사업,7425,27776,23551,4225,5106,9568,2316,18205,3,3,0,0,7299,24807,57,438,69,2531,6054,9961,899,5591,324,4234,112,3284,20,1311,13,1745,1,X,2,X,0,0,5214,286,12023,10159,94,5752,21242,1673,6534,1,X,245,696,789,2337,2145,7587,3019,12257,1226,4896
0000000F42110,전국,건물 및 구축물 해체 공사업,7425,27776,23551,4225,5106,9568,2316,18205,3,3,0,0,7299,24807,57,438,69,2531,6054,9961,899,5591,324,4234,112,3284,20,1311,13,1745,1,X,2,X,0,0,5214,286,12023,10159,94,5752,21242,1673,6534,1,X,245,696,789,2337,2145,7587,3019,12257,1226,4896
0000000F4212,전국,기반조성 관련 전문공사업,9102,80004,69516,10488,3374,6047,5724,73933,3,23,1,X,8681,63954,197,3211,224,12839,5727,10419,1754,11398,934,12478,462,13489,122,8219,82,13310,15,5506,4,2638,2,X,3452,191,38803,37369,189,6881,67127,2221,12877,3,7,192,856,576,4124,2151,14641,3760,31368,2420,29008
0000000F42121,전국,토공사업,6033,63468,55317,8151,1648,2937,4383,60511,2,X,0,0,5713,51783,150,2799,170,8886,3380,6355,1313,8601,749,10064,398,11732,106,7236,71,11683,12,4374,3,2007,1,X,1678,81,30650,30904,155,4484,53060,1549,10408,2,X,137,679,380,3371,1496,11551,2558,25160,1460,22705
0000000F42122,전국,"보링, 그라우팅 및 관정 공사업",2332,9733,8264,1469,1381,2421,949,7308,1,X,1,X,2268,7867,29,212,35,1654,1842,3171,330,2066,114,1439,34,882,7,445,4,599,0,0,0,0,1,X,1420,88,5186,3020,19,1826,8146,506,1587,1,X,36,74,151,438,467,1702,899,3401,778,4113
0000000F42123,전국,파일공사 및 축조관련 기초 공사업,558,4826,4189,637,255,529,303,4297,0,0,0,0,532,3374,11,125,15,1327,373,666,87,578,57,770,26,744,8,483,5,755,2,X,0,0,0,0,261,18,2334,2200,13,440,4263,118,563,0,0,12,85,36,225,147,1225,220,1267,143,2024
0000000F42129,전국,기타 기반조성 관련 전문공사업,179,1977,1746,231,90,160,89,1817,0,0,0,0,168,930,7,75,4,972,132,227,24,153,14,205,4,131,1,X,2,X,1,X,1,X,0,0,93,4,633,1245,2,131,1658,48,319,0,0,7,18,9,90,41,163,83,1540,39,166
0000000F4213,전국,시설물 축조 관련 전문공사업,30345,265233,231945,33288,14383,29983,15942,234642,19,606,1,X,29335,202309,468,8432,542,54492,20298,36884,5964,38358,2543,32963,999,29252,260,17327,193,30388,37,14223,32,22669,19,43169,14619,701,95528,153186,1199,22578,217537,7767,47696,4,12,778,3360,2383,13076,7868,50402,12868,116718,6444,81665
0000000F42131,전국,철골 및 관련 구조물 공사업,5205,21644,18449,3195,3543,7055,1661,14585,1,X,0,0,5051,18279,78,861,76,2504,4110,6648,703,4494,260,3342,97,2705,20,1298,12,2012,3,1145,0,0,0,0,3609,181,9481,8262,111,4122,17781,1083,3863,1,X,138,367,393,1205,1328,5100,2332,9624,1013,5344
0000000F42132,전국,콘크리트 및 철근 공사업,9303,153745,139035,14710,1807,3864,7495,149876,1,X,0,0,8934,111693,168,4637,201,37415,4739,10755,2654,17178,1098,14259,473,13927,144,9729,122,19894,27,10436,29,20772,17,36795,1834,73,39444,111679,715,6559,131014,2744,22731,0,0,201,1581,601,6635,2132,24037,4076,67336,2293,54156
